ID	Verhaal	Locatie	Afbeelding
00	Aankomst in San Francisco	San Francisco	San fransisco/Panoramisch uitzicht op de baai (1) (1).png
01	De meeuw die het broodje stal	San Francisco	San fransisco/San Francisco waterfront in watercolor (1) (1).png
02	Meeuwen zorgen voor drukte	San Francisco	San fransisco/Pier 39 met zeeleeuwen en brug (1) (1).png
03	Dagboek: de kabeltram	San Francisco	San fransisco/San Francisco kabeltram op de heuvel (1) (1).png
04	Interview met een kabeltrambestuurder	San Francisco	San fransisco/Winding straat met bloemen en baai (1) (1).png
05	De Golden Gate Bridge	San Francisco	San fransisco/Fietsers op de Golden Gate-brug (1) (1).png
06	De scheve straat	San Francisco	San fransisco/Zonsondergang bij de Victoriaanse huizen (1) (1).png
07	Op bezoek bij de zeeleeuwen	San Francisco	Monterey_Big_Sur/Monterey_Bay_Sea_Otter.png
08	Een verrassing op Alcatraz	San Francisco	Monterey_Big_Sur/Point_Pinos_Lighthouse.png
09	De mysterieuze mist	San Francisco	Monterey_Big_Sur/Big_Sur_Coast.png
10	De schatkaart van Chinatown	San Francisco	San fransisco/Chinatown street scene in watercolor (1) (1).png
11	De zeeotter met de steen	Monterey & Big Sur	Monterey_Big_Sur/California_Redwood_Grove.png
12	Een reus uit de zee	Monterey & Big Sur	Monterey_Big_Sur/Monterey_Harbor_Whale_Watching.png
13	De vuurtoren in de mist	Monterey & Big Sur	Monterey_Big_Sur/Big_Sur_Forest_Trail.png
14	De brug van Bixby Creek	Monterey & Big Sur	Monterey_Big_Sur/Bixby_Creek_Bridge.png
15	De verborgen waterval	Monterey & Big Sur	Monterey_Big_Sur/McWay_Falls.png
16	De boom waarin je kunt wonen	Monterey & Big Sur	Yosemite/Yosemite_El_Capitan.png
17	De brug van touw	Monterey & Big Sur	Yosemite/Yosemite_Mist_Trail_Steps.png
18	De onverwachte gast	Monterey & Big Sur	Los_Angeles_California_Coast/Ventura_Harbor.png
19	De eekhoorn met het geheim	Monterey & Big Sur	Yosemite/Yosemite_Valley_Meadow.png
20	De zon zakt in de oceaan	Monterey & Big Sur	Monterey_Big_Sur/Big_Sur_Sunset.png
